task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-11T12:55:47,modernbert_lora_train,ec706c30-fdc5-438f-ba00-9b3813a46094,1.6877009479794651,2.352963896151128e-05,1.3940029488377896e-05,21.060756245920278,21.571864785749227,10.0,1.974871218784688e-05,1.0115841423186112e-05,4.632771933554775e-06,3.4497325544587766e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-11T12:55:47,modernbert_lora_train,ec706c30-fdc5-438f-ba00-9b3813a46094,0.20010285102762282,2.9250713143590912e-06,1.4623563719446257e-05,50.6980787534799,17.500638631186497,10.0,2.812653361232778e-06,9.719452229717263e-07,5.039133448412431e-07,4.288511929045748e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-11T12:55:48,modernbert_lora_train,ec706c30-fdc5-438f-ba00-9b3813a46094,1.3336505889892578,2.8961397201981815e-05,2.1717144600571818e-05,64.03272953156632,27.409499681627643,10.0,2.865508097960219e-05,1.0153341456486942e-05,3.6525243356461735e-06,4.2460946771735314e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-11T12:55:51,modernbert_lora_train,ec706c30-fdc5-438f-ba00-9b3813a46094,2.377283603185788,6.555402887654406e-05,2.7576330407145994e-05,78.37626326380324,55.2453037781335,10.0,5.308053496439445e-05,3.6478918072901934e-05,6.550762619331685e-06,9.611021565662808e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
