task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-17T23:34:32,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,106.49258949304931,0.0011677263747804333,1.0965309751841195e-05,0.2251022751593821,23.791108477542604,10.0,0.0007124932705497161,0.0007037736185679933,0.0002957626479141052,0.0017120295370318145,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-17T23:34:32,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,0.26164416410028934,3.7761009167788795e-06,1.4435901161629944e-05,51.979907155582,14.940035868026104,10.0,3.774158297100913e-06,1.0855564269718343e-06,6.765105800392583e-07,5.536225304111951e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-17T23:34:33,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,0.8386297619435936,1.881057453934792e-05,2.243223747421938e-05,86.19489961852459,22.457171656446917,10.0,2.0070537445305778e-05,5.2302819604221895e-06,2.2777811255461004e-06,2.7578600531274122e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-18T00:35:46,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,3672.4678919319995,0.16343385254933737,4.45024592370592e-05,86.17527394702401,210.75637447943848,10.0,0.014413854835796866,0.21499889922120374,0.010201241959813827,0.23961399601681443,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-18T00:35:46,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,0.5916295382194221,1.8630228466320897e-05,3.14938819233756e-05,81.01275051971268,75.56934742860427,10.0,1.33081525909573e-05,1.2417787715435225e-05,1.5882508473518547e-06,2.7314191153732237e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-18T00:39:57,variants_train,7a6d9202-46b0-4726-8493-f6e40729df66,251.00191261409782,0.014921292953520016,5.944694499606035e-05,81.06475592102197,209.69826709969658,10.0,0.0065585367926585675,0.014620729752127914,0.0006971719932522529,0.02187643853803875,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
