task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-18T03:35:49,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,5.774696846026927,6.594989248731719e-05,1.1420036731811729e-05,4.437416404133116,23.688044626552195,10.0,4.270931638964727e-05,3.8000585956154964e-05,1.598069773042678e-05,9.669060007622902e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-18T03:35:50,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,0.2417012129444629,4.120378980904663e-06,1.7052108596180593e-05,56.89739436403898,23.823841988330003,10.0,3.8190508330135375e-06,1.60027905948823e-06,6.216491171572757e-07,6.040979009659043e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-18T03:35:51,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,0.8464140829164535,1.9095190213901697e-05,2.2562129650072194e-05,87.3510427661352,22.742329489372658,10.0,2.039941993063274e-05,5.312226470266523e-06,2.284235483320015e-06,2.799588188421926e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-18T03:53:37,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,1066.1464172590058,0.04969753563132574,4.6614174659668196e-05,87.30261347773046,200.30623751171666,10.0,0.010580143498274694,0.05932105412347255,0.0029614616074056057,0.07286265922915285,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-18T03:53:37,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,0.3577441181987524,1.1027230664539811e-05,3.083031577707434e-05,81.08297419879295,72.27594100562668,10.0,8.050233384626626e-06,7.1786168511778214e-06,9.384172140725587e-07,1.6167267449879175e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-18T03:54:52,variants_train,67d24320-55c5-4157-879b-f7d1ad47e930,74.72036398109049,0.004440448108592912,5.94276140844865e-05,81.53992401777303,188.31163819339628,10.0,0.0023942317573283165,0.003908507849025966,0.00020749985021151001,0.0065102394565658,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
