task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-09T15:12:09,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,4.845706473104656,5.495235037344728e-05,1.1339866643112078e-05,5.427410732626573,22.758429592068374,10.0,3.652866866735594e-05,3.063641339906553e-05,1.3401777602525221e-05,8.056685966894669e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-09T15:12:09,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,0.27812990406528115,5.069441439485506e-06,1.8231748991287332e-05,64.18346722654266,22.772490033375824,10.0,4.952932851231932e-06,1.7586125196089597e-06,7.208751585696721e-07,7.432420529410562e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-09T15:12:10,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,0.8252361738123,1.896682621248176e-05,2.2986004406399775e-05,90.00114315825294,22.129315166369587,10.0,2.0529176423328237e-05,5.048892926851067e-06,2.2296152245770717e-06,2.780768457475638e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-09T15:29:55,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,1065.1436010890175,0.04930732763274677,4.629171852188444e-05,89.9504986288405,198.26533474342116,10.0,0.010670566148946087,0.05866132915124567,0.0029586713278336296,0.07229056662802538,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-09T15:29:56,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,0.35941171809099615,1.1098272891099659e-05,3.088631740436404e-05,80.89466533633254,72.77328090898237,10.0,8.067741731968003e-06,7.2616724793306275e-06,9.420098225948643e-07,1.6271424033889592e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-09T15:31:10,variants_train,06f57fa8-d4ca-42f5-ae1b-9fcd7ce2cdfb,73.91915759211406,0.004404937485533653,5.959133913249229e-05,81.36158457217358,189.08214060641274,10.0,0.0023704670263721035,0.003882434772609855,0.0002052747455276809,0.006458176544509642,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
