task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-20T03:50:34,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,4.575982323847711,5.3747569659752515e-05,1.1744900304802768e-05,5.588595015010936,24.086094389343636,10.0,3.552024147172612e-05,3.061919115765477e-05,1.266107131442469e-05,7.880050394380557e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-20T03:50:34,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,0.24440324073657393,3.999804569837071e-06,1.63705279772672e-05,56.269332067810225,20.93862125344255,10.0,3.814981940871917e-06,1.4208344722987931e-06,6.283857782060904e-07,5.864202191376797e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-20T03:50:35,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,0.7810163768008351,1.7901123187790708e-05,2.2923191819020883e-05,87.25706432793085,24.00721887172658,10.0,1.8920227636169858e-05,5.2069486145001065e-06,2.1180574833932835e-06,2.624523373406325e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-20T06:33:28,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,9773.57919105934,0.4395588477642196,4.4974194136235936e-05,87.24822389472651,226.48957907606777,10.0,0.0024054722038206675,0.614892734413786,0.02714876905125566,0.6444469756688623,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-20T06:33:29,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,0.8931377730332315,2.779639939087808e-05,3.112437358645522e-05,80.46149183931045,73.32732895034101,10.0,2.004499742487391e-05,1.8271403511960216e-05,2.436516705589531e-06,4.075291764249478e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-20T06:41:47,variants_train,ebdbfd1b-ee6c-43f0-86a8-17f3c73be936,497.27665272913873,0.030751060616515835,6.183894680455967e-05,80.47042381928671,231.4793475843162,10.0,0.011728757290220548,0.031974786690909696,0.001381268015541396,0.04508481199667169,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
