task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-04T01:51:26,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,1.6519837050000206,1.9876326691715097e-05,1.203053474326611e-05,15.745532335422846,22.136434926412505,10.0,1.4451232116531251e-05,1.0160008127257925e-05,4.529883155353471e-06,2.9141123399142647e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-04T01:51:26,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,0.2047843469772488,3.623273233151266e-06,1.7699901813223355e-05,63.9501315388044,20.41984824997969,10.0,3.6330979064757435e-06,1.161112038516876e-06,5.179513025925391e-07,5.312161247585162e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-04T01:51:27,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,0.7715037270681933,1.7523378044494643e-05,2.271557528742426e-05,90.39844502449104,19.8118039120692,10.0,1.936440104706276e-05,4.245003395908498e-06,2.082008758508083e-06,2.569141320147934e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-04T03:34:20,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,6172.867992822081,0.27166853168522653,4.401009895972417e-05,90.38530019487662,213.00525287707097,10.0,0.015915204189097608,0.3652372494117895,0.017146806030569454,0.3982992596314565,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-04T03:34:21,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,0.7497734939679503,2.2540870197207408e-05,3.006662235174207e-05,83.50626559365236,65.49291499640124,10.0,1.7383249739922474e-05,1.3636955353391045e-05,2.0274646360327053e-06,3.3047669729335816e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-04T03:41:31,variants_train,2ac272b7-fd3c-4ffa-a45f-3f9591a6469d,430.3144888730021,0.025227778500791276,5.862638546124545e-05,83.51784179387299,210.93741706096702,10.0,0.010578026991581488,0.025213716559846944,0.001195262034680733,0.03698700558610918,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
