task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-11T12:49:00,modernbert_lora_train,7e988c96-1027-423b-b9b4-4f0b67ee8724,1.980303964810446,4.162797062844688e-05,2.101893170161822e-05,39.737122925854045,21.569415710262597,10.0,4.37179771965758e-05,1.186667615726833e-05,5.447037649961809e-06,6.103169100380594e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-11T12:49:00,modernbert_lora_train,7e988c96-1027-423b-b9b4-4f0b67ee8724,0.19565001293085515,3.9249913469397715e-06,2.0070231582115534e-05,84.81501923112637,12.2006570871618,10.0,4.600532291534204e-06,6.625005326554856e-07,4.914840418172795e-07,5.754516866006971e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-11T12:49:01,modernbert_lora_train,7e988c96-1027-423b-b9b4-4f0b67ee8724,1.0291340840049088,2.4302089085512227e-05,2.361577558913554e-05,88.80999684269892,22.05049120953165,10.0,2.6521264828105462e-05,6.3025050422993445e-06,2.806061933127542e-06,3.562983180353235e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-11T12:49:08,modernbert_lora_train,7e988c96-1027-423b-b9b4-4f0b67ee8724,7.147177207050845,0.00022635280953660865,3.167061984567362e-05,92.36308833427107,67.91738330018813,10.0,0.00017722356650096138,0.00013483677453507426,1.980053329736822e-05,0.00033186087433340387,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
