task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-17T20:34:47,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,6.527107171015814,7.365239751203962e-05,1.1283779170536866e-05,3.5951693072991313,24.418329402698166,10.0,4.5628225113661033e-05,4.427420208230615e-05,1.808098633062198e-05,0.00010798341352658916,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-17T20:34:48,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,0.23893237113952637,4.058596751219587e-06,1.6991720139219328e-05,58.07753681419261,22.410043962810942,10.0,3.8502364135203915e-06,1.48694563506524e-06,6.132166638659924e-07,5.950398712451627e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-17T20:34:48,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,0.8351353988982737,1.9210765043972835e-05,2.300541486777115e-05,88.6314640156421,23.041447619912734,10.0,2.0552835053366802e-05,5.344170943999416e-06,2.2683227085508397e-06,2.8165328705917058e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-17T21:56:55,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,4926.8723654230125,0.21181784877911855,4.299235558884404e-05,88.61437895250685,212.42778773057637,10.0,0.006141522578491911,0.2907236206342638,0.013685702783658375,0.3105508459964141,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-17T21:56:56,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,0.6379135760944337,2.0507900324873152e-05,3.215270919801598e-05,81.48018451676964,78.58003434222763,10.0,1.4430324322027739e-05,1.3920566694025638e-05,1.716196494331787e-06,3.0067087510354806e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-17T22:02:34,variants_train,a4f61e49-7e0c-4a60-a28c-1962541022b5,338.0694689459633,0.019995788223104327,5.914699251137201e-05,81.50735873794144,211.51630506113878,10.0,0.008514169292441094,0.019863075057113377,0.00093902425029147,0.02931626859984593,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
