variant,total_kwh,total_kwh_std,runtime_s,runtime_s_std,cpu_kwh,gpu_kwh,ram_kwh,f1,f1_std,accuracy,peak_mem_gb,inference_energy,inference_energy_std,inference_time,throughput_qps,latency_ms,avg_gpu_util,avg_gpu_mem_util,num_runs,significant,eval_time_s,eval_time_std,Δtotal_kwh,Δruntime_s,Δinference_energy,Δeval_time_s,Δf1,Δaccuracy,percent_diff_energy,percent_diff_time,percent_diff_eval_time,percent_diff_f1,f1_per_kwh,on_pareto
V13_gradient_accumulation_plus_fp16_plus_checkpointing,0.6887273851762249,0.0,496.26211806898937,0.0,0.016107015047546174,0.6440663399748816,0.02855403015379723,0.9946956699851771,0.0,0,0,0,0.0,0,0,0,0,0,1,False,496.2420774650527,,34.42950831454887,-3.974762170480574,0,-3.974980091547152,0.0011682280536721157,0,34.42950831454887,-3.974762170480574,-3.974980091547152,0.11758387381841989,1.4442516609538678,True
V4_tokenizer,0.51286410251821,0.0,518.5285247340216,0.0,0.019687298689270792,0.47114480524887536,0.02203199858006378,0.9946076668216501,0.0,0,0,0,0.0,0,0,0,0,0,1,False,518.5047991069732,,0.10356872344290081,0.33372102371979434,0,0.3329542533236965,0.0010802248901451428,0,0.10356872344290081,0.33372102371979434,0.3329542533236965,0.10872622582473315,1.9393201082665659,True
v22_layer_pruning_16_top,0.16219588519050301,0.0,162.64263226394542,0.0,0.008268796628920902,0.14684636997700196,0.007080718584580205,0.9945781949183105,0.0,0,0,0,0.0,0,0,0,0,0,1,False,162.62218123697676,,-68.34173641690847,-68.52913636621106,0,-68.53189421057016,0.0010507529868054588,0,-68.34173641690847,-68.52913636621106,-68.53189421057016,0.10575983535620337,6.131957008343055,True
v25_layer_pruning_20_bottom,0.07902808485646744,0.0,74.73951475403737,0.0,0.012987198936695282,0.0628651611254245,0.003175724794347641,0.9944183476431729,0.0,0,0,0,0.0,0,0,0,0,0,1,False,74.71967033110559,,-84.5748741534692,-85.5381270941144,0,-85.54141585947488,0.0008909057116679442,0,-84.5748741534692,-85.5381270941144,-85.54141585947488,0.08967097173842978,12.58310067173281,True
v29_attention_plus_pin_memory_optimizer_gradient_accumulation,0.44636479910374716,0.0,408.0351921960246,0.0,0.02226194531537534,0.40601546897878293,0.018087384809588877,0.9945863186486535,0.0,0,0,0,0.0,0,0,0,0,0,1,False,408.0114646939328,,-12.876122303332371,-21.046408849627383,0,-21.047990891358744,0.0010588767171485491,0,-12.876122303332371,-21.046408849627383,-21.047990891358744,0.10657750077743192,2.2281916509672732,True
