task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-04T05:33:53,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,4.6458300380036235,5.3139906726468906e-05,1.1437741635535325e-05,5.223924420461714,24.289391294390608,10.0,3.370730113248441e-05,3.1347247299251535e-05,1.2855047408245608e-05,7.790959583998155e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-04T05:33:53,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,0.18192462401930243,3.276663581373702e-06,1.8018269162394226e-05,67.53527217654378,18.67152819855656,10.0,3.406648003094828e-06,9.427785325755167e-07,4.545626139992639e-07,4.803989149669604e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-04T05:33:54,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,0.7375051690032706,1.6910846949944767e-05,2.2932333899351016e-05,89.56122628122161,21.770572745615173,10.0,1.833778689244031e-05,4.4586146774605595e-06,1.9969662085511837e-06,2.4793367778452052e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-04T06:55:58,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,4923.836659706081,0.21120874182544883,4.2895156265127284e-05,89.5439071424598,212.08595996719185,10.0,0.005903713120466718,0.29007684206128914,0.013677265600519281,0.3096578207822751,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-04T06:55:58,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,0.6129321840126067,1.842976329433088e-05,3.0071552459514226e-05,80.58646848862841,68.50957888662202,10.0,1.3712413747700089e-05,1.1660842663019366e-05,1.6470283082329479e-06,2.7020284718959342e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-04T07:01:39,variants_train,4ba6905b-f706-44d3-bae1-05371a14913c,340.62721716589294,0.020066391108159137,5.891013674173676e-05,80.61518355008207,210.5531059925228,10.0,0.008551446934763186,0.019922205104416335,0.0009461290163443967,0.029419781055523897,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
