variant,total_kwh,cpu_kwh,gpu_kwh,ram_kwh,runtime_s,f1,peak_mem_gb,f1_per_kwh
V0_baseline,0.5123334852677477,0.01960156978929884,0.47073560408818205,0.021996311390266865,516.8038416630006,0.993527441931505,,1.9392201964161746
V10_dataloader_pin_memory,0.4079028006399652,0.02753105297315809,0.3619217398149379,0.018450007851869225,425.89096099400194,0.9933690791945619,,2.4353083078518933
V12_attention,0.37510743605833224,0.026033627399940813,0.3330413503217553,0.016032458336636125,338.6114185359329,0.9939095870508714,,2.649666446218652
V13_gradient_accumulation_plus_fp16_plus_checkpointing,0.6887273851762249,0.016107015047546174,0.6440663399748816,0.02855403015379723,496.26211806898937,0.9946956699851771,,1.4442516609538678
V1_gradient_checkpointing,0.6696355323919724,0.020752073408589884,0.6198737022874545,0.02900975669592784,517.5626420640037,0.9932328745009681,,1.4832439834145141
V3_quantization,0.4852558757799474,0.027504119602722525,0.42544727674643923,0.032304479430785675,642.8302640080219,0.9932314809874916,,2.046820101644477
V4_tokenizer,0.51286410251821,0.019687298689270792,0.47114480524887536,0.02203199858006378,518.5285247340216,0.9946076668216501,,1.9393201082665659
V6_optimizer,0.48879889007997795,0.012915637774446393,0.45468084096660366,0.02120241133892786,518.3979384380509,0.9935599965544747,,2.032655999672804
V7_f16,0.40726751305378966,0.02666493402554126,0.3622521098014566,0.018350469226791757,421.4391795800184,0.9933850269990302,,2.4391462494771328
V8_sequence_length_trimming,0.27341654201900634,0.014607592648842547,0.24646777772961936,0.012341171640544457,255.43303291400662,0.9897696202904718,,3.6200063572659356
v11_torch_compile,0.27672519375936966,0.01967737610327718,0.23431450161811718,0.022733316037975276,418.24187364801764,0.9938108792339553,,3.591327792503554
