task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-19T21:09:51,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,3.8948202659375966,4.4951631429738916e-05,1.154072453380636e-05,6.568430397851965,24.691759007981375,10.0,2.8426829408111434e-05,2.671696582012828e-05,1.0760788591707953e-05,6.590458381994767e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-19T21:09:51,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,0.24231528886593878,4.073679696365719e-06,1.6816507498886688e-05,55.52067777406071,24.043031710339825,10.0,3.732097152341074e-06,1.61750129734628e-06,6.229137031671906e-07,5.972512152854539e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-19T21:09:52,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,0.8297747510951012,1.915725187649095e-05,2.3089479610225075e-05,88.42838065674502,23.69402246850533,10.0,2.0373421854279553e-05,5.460282146430018e-06,2.2531678634954413e-06,2.8086871864205007e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-19T22:11:15,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,3683.121195724001,0.1640463729963383,4.454004199046251e-05,88.4082154334504,210.90414058539906,10.0,0.014507430368435008,0.21577376095221013,0.010230834508588952,0.2405120258292341,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-19T22:11:16,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,0.5036256420426071,1.624252099241552e-05,3.2256064510439116e-05,80.71639794944554,79.98351894453813,10.0,1.1284240971831325e-05,1.1185564503080059e-05,1.3437147944293792e-06,2.3813520269339028e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-19T22:15:28,variants_train,a297b143-5292-4d25-8cbe-79c469dabec7,251.6978677951265,0.014989529608409269,5.955368268189537e-05,80.76864201738822,210.45061848855917,10.0,0.0065637420168227455,0.014713645937575848,0.0006990938567918627,0.021976481811190468,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
