task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-03T12:44:36,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,1.6500014379853383,1.9059461320293277e-05,1.1549810695668393e-05,14.790147639714839,21.49647787887242,10.0,1.3557031956728041e-05,9.853618992750057e-06,4.5328480113918584e-06,2.7943498960869956e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-03T12:44:36,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,0.19028260000050068,3.2577260395754923e-06,1.7126859910552092e-05,62.71650574950462,18.750780749892066,10.0,3.3088357026220564e-06,9.90278572032821e-07,4.771101249692343e-07,4.776224399624116e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-03T12:44:37,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,0.7011652489891276,1.6301548538739634e-05,2.3251537895727296e-05,91.61719211429516,21.40923134578042,10.0,1.7835340657149958e-05,4.168892223432863e-06,1.8958289835912488e-06,2.3900061864174067e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-03T18:06:57,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,19339.701860561036,0.41207764538198255,2.1307342197065674e-05,91.61261854742574,99.26458951077996,10.0,0.017171634350907603,0.5332632149435632,0.05372132605707804,0.6041561753515489,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-03T18:06:57,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,0.8297958570765331,2.4937755992215926e-05,3.0055579965969038e-05,81.11446099119284,68.53742960913283,10.0,1.8601767381401513e-05,1.5720845908617775e-05,2.239183863925187e-06,3.6561797153944475e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-03T18:29:50,variants_train,26e893d0-cba2-4a56-b548-70fd06d45901,1372.8423699890263,0.0375313732088004,2.733844471795211e-05,81.08105635571175,99.04362509272703,10.0,0.013442373608890286,0.037769809382492525,0.0038133956771751396,0.05502557866855795,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
