task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-16T20:32:18,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,1.586931857978925,1.9287329506587207e-05,1.215253065765471e-05,15.136090105300225,23.983086635798294,10.0,1.3344949842617956e-05,1.05741751283972e-05,4.358456591661605e-06,2.8277581562676763e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-16T20:32:18,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,0.23641041503287852,3.959179920490074e-06,1.6752389550962754e-05,59.54025244524951,19.723353753216973,10.0,3.9043853457283034e-06,1.2944454823582419e-06,6.058106638698118e-07,5.804641491956354e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-16T20:32:19,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,1.0755178269464523,2.453336040091781e-05,2.2812402412753447e-05,73.22617607583167,23.67982386518502,10.0,2.5959083267249744e-05,7.0738945439075e-06,2.9359259972504027e-06,3.596890380840764e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-16T20:56:25,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,1445.4253677870147,0.04002394054868668,2.769007877074375e-05,86.85433709518219,132.70435631195772,10.0,0.0013832420015927162,0.05328173123646707,0.004015013690077467,0.05867998692813725,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-16T20:56:25,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,0.1768740729894489,4.417234908384027e-06,2.498495512816565e-05,50.242107925188044,72.85544661723432,10.0,2.4638639155340203e-06,3.5763917480835516e-06,4.359504052744642e-07,6.476206068896373e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-16T21:00:18,modernbert_lora_train,2ac7f10a-8d08-42e4-9f70-758860b265a2,232.95336296991445,0.010977300657511256,4.712232940109195e-05,50.436445850238805,143.19948687318927,10.0,0.00618100958091482,0.009266038246156683,0.0006470161321087894,0.016094063959180296,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
