task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-02T12:59:52,modernbert_ort_train,864601c2-89be-4fbe-be20-3944eae838a6,2.667535110958852,2.9680073376049483e-05,1.112552124070041e-05,9.167939793401485,21.288158975553124,10.0,2.0380398248750348e-05,1.5776123731825464e-05,7.358091869456176e-06,4.351461385003199e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-02T12:59:53,modernbert_ort_train,864601c2-89be-4fbe-be20-3944eae838a6,0.16818487900309265,3.299792677487973e-06,1.9627530047558444e-05,70.12030031721187,24.717375561403223,10.0,3.269626782365781e-06,1.1538898121443708e-06,4.143826359520773e-07,4.837899230462229e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-02T13:00:02,modernbert_ort_train,864601c2-89be-4fbe-be20-3944eae838a6,9.380075807916,0.00017539104128923755,1.869844666445752e-05,69.69575365269122,21.989419452632315,10.0,0.0001738474854667653,5.7294212501446395e-05,2.600299765828014e-05,0.00025714469562649185,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-02T13:00:02,modernbert_ort_train,864601c2-89be-4fbe-be20-3944eae838a6,0.060263747931458056,1.1287944005486318e-06,1.875509014516381e-05,73.00435491469096,19.47385965364168,10.0,1.215813472652677e-06,3.252780391704846e-07,1.1385899431641593e-07,1.6549505061395843e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
