task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-19T23:23:28,variants_train,d3763691-769e-4608-a941-462037ad1ba1,4.989049344789237,5.7247383564216e-05,1.1474088274074134e-05,5.2358024261930485,24.424020448635144,10.0,3.62810648581631e-05,3.3850860411632766e-05,1.3799733461605178e-05,8.393165873140104e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-19T23:23:29,variants_train,d3763691-769e-4608-a941-462037ad1ba1,0.24929225631058216,3.816782822425086e-06,1.53151789412765e-05,55.62473727912632,16.00375603021878,10.0,3.8465364105599964e-06,1.107500885666468e-06,6.418326520361003e-07,5.59586994826256e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-19T23:23:30,variants_train,d3763691-769e-4608-a941-462037ad1ba1,0.8319573728367686,1.9041522259632143e-05,2.288967975199268e-05,87.07581139770907,24.00411983381799,10.0,2.0112619978972003e-05,5.5455599934362e-06,2.2590181337566015e-06,2.7917198106164798e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-20T00:03:12,variants_train,d3763691-769e-4608-a941-462037ad1ba1,2381.9068434210494,0.10114114497465912,4.2462258806510823e-05,87.04163976474116,208.40442273611743,10.0,0.0037800540965408575,0.1378888711443409,0.006616350612711782,0.14828527585359355,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-20T00:03:12,variants_train,d3763691-769e-4608-a941-462037ad1ba1,0.47640909906476736,1.6353815775055347e-05,3.433308051337554e-05,80.67379541065263,91.02415732162238,10.0,1.0667897700978018e-05,1.2041120740491351e-05,1.2676735770787706e-06,2.397669201856245e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-20T00:05:55,variants_train,d3763691-769e-4608-a941-462037ad1ba1,162.70859021041542,0.009815645174777357,6.0326559317834416e-05,80.79388660319708,208.166648362531,10.0,0.004530800483804153,0.00940823335992036,0.00045190124789951363,0.014390935091624035,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
