task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-11T13:21:40,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,1.9817175511270761,4.2729484747498425e-05,2.1559700676787053e-05,40.816420944557905,22.256296035877064,10.0,4.4940521230166924e-05,1.2254176468218247e-05,5.4519475858089414e-06,6.264664528419412e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-11T13:21:40,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,0.18674456886947155,4.0747602003465965e-06,2.182932718012685e-05,87.51766586413896,18.78838959484153,10.0,4.53311723760258e-06,9.741674524832433e-07,4.668116136195343e-07,5.974096303705361e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-11T13:21:41,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,1.179905850905925,2.8051464277774672e-05,2.3775794427743036e-05,86.25044497570346,30.675450895579832,10.0,2.7847809222674227e-05,1.0053619149630322e-05,3.225445557877215e-06,4.112687393018176e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-11T13:21:43,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,2.097307357005775,5.938593442775199e-05,2.831700438229726e-05,85.74314142500997,52.30308340989797,10.0,5.082662982793841e-05,3.0467246599386044e-05,5.773159155958436e-06,8.70670355832829e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
save_model,2025-06-11T13:21:51,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,7.8899140760768205,0.00021989536012575114,2.787076647191556e-05,87.02913606003291,51.809413979775954,10.0,0.0001870496924174115,0.00011349009078998051,2.1853681325188117e-05,0.0003223934645325801,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
evaluate_model,2025-06-11T13:21:51,modernbert_lora_train,cd7ca202-2776-4059-87d3-33e0224f2ed1,0.03836256288923323,5.655409314311096e-07,1.4761286141111168e-05,80.09553406494605,0.0,10.0,7.806972912253324e-07,0.0,4.845481146023209e-08,8.291521026855238e-07,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
