task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-11T13:02:34,modernbert_lora_train,40e921fd-b26b-4814-b3b4-14bc2bd50759,1.518607674865052,2.2052381456683404e-05,1.4519807058893844e-05,22.176330707523228,22.405837048142768,10.0,1.8710688579649803e-05,9.453896453237576e-06,4.166900519824897e-06,3.233148555271228e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-11T13:02:35,modernbert_lora_train,40e921fd-b26b-4814-b3b4-14bc2bd50759,0.19736846000887454,3.1748543955797413e-06,1.6092673764878187e-05,55.35501964574516,20.59427188667573,10.0,3.0299190905999467e-06,1.1283342367107707e-06,4.964711170436607e-07,4.654724444354379e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-11T13:02:36,modernbert_lora_train,40e921fd-b26b-4814-b3b4-14bc2bd50759,1.0322497671004385,2.175114332139172e-05,2.10727584169023e-05,67.5511976065365,21.68536912286391,10.0,2.2858333286652132e-05,6.216949415716044e-06,2.814550939041914e-06,3.188983364141009e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-11T13:02:37,modernbert_lora_train,40e921fd-b26b-4814-b3b4-14bc2bd50759,1.3217641778755933,3.4669062694882715e-05,2.62312563519781e-05,80.46726328185342,47.41244632651808,10.0,2.9802712453261965e-05,1.740695837071371e-05,3.619410917033545e-06,5.082908174100922e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
