task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-07T23:57:13,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,1.9617825699970126,7.81002201504622e-08,3.98056885011189e-08,13.9131387214582,22.563599223635087,10.0,1.5164692409522045e-05,1.2298343170513704e-05,5.390576914133918e-06,3.2853612494169666e-05,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
tokenize_dataset,2025-06-07T23:57:13,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,0.13401586096733809,8.94717277302819e-09,6.680093320147469e-08,77.66754729928658,14.969077027797788,10.0,2.885396197204002e-06,5.569448902065233e-07,3.2137361963072627e-07,3.763714707041248e-06,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
load_model,2025-06-07T23:57:14,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,1.049647601088509,8.390116207116118e-08,7.99402909149344e-08,84.11619364469814,20.683714647186886,10.0,2.639950167513999e-05,6.030282602154102e-06,2.864050505579345e-06,3.529383478287343e-05,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
train_model,2025-06-08T00:21:37,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,1462.5792291790713,0.00014089863289909948,9.63357313679357e-08,90.50590971157824,131.4798688410686,10.0,0.0017911590368149721,0.05341655189987371,0.004062660866455149,0.05927037180314383,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
save_model,2025-06-08T00:21:37,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,0.3822299810126424,2.8834456904976028e-08,7.54530359210163e-08,35.62329876158263,70.76129168068236,10.0,3.7280535379962364e-06,7.408894814986411e-06,9.925446473064287e-07,1.212949300028604e-05,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
evaluate_model,2025-06-08T00:25:33,modernbert_lora_train,59b1d0a6-40f4-4762-8fd1-8df1f99c335e,235.3335831919685,3.8602357494759375e-05,1.6403255826699723e-07,35.87595521512205,143.1576211855965,10.0,0.006226537277059171,0.009358268875500286,0.0006536486437389005,0.016238454796298353,Canada,CAN,quebec,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-71.2,46.8,755.2023086547852,process,N
