task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_dataset,2025-06-11T12:51:28,modernbert_lora_train,7b22ccd4-2db3-434b-b51f-1b567170a371,1.4368350559379905,1.9447906510804256e-05,1.3533607963631982e-05,19.668921851143747,22.224424513643203,10.0,1.5700808393970256e-05,8.871951539646261e-06,3.940247136375142e-06,2.851300706999166e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
tokenize_dataset,2025-06-11T12:51:28,modernbert_lora_train,7b22ccd4-2db3-434b-b51f-1b567170a371,0.18581737182103097,2.78120377649216e-06,1.4974517975708272e-05,48.46499135023252,21.648261412425445,10.0,2.496685608458296e-06,1.1163897823962543e-06,4.645091500909382e-07,4.077584540945485e-06,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
load_model,2025-06-11T12:51:29,modernbert_lora_train,7b22ccd4-2db3-434b-b51f-1b567170a371,1.0292169640306383,2.158843826467792e-05,2.0977345025445713e-05,63.7334305043805,21.918145678188022,10.0,2.2579039452106514e-05,6.265282788575632e-06,2.8069659084495576e-06,3.16512881491317e-05,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
train_model,2025-06-11T12:51:37,modernbert_lora_train,7b22ccd4-2db3-434b-b51f-1b567170a371,7.425455448916182,0.00022397593400628422,3.016378878251831e-05,79.27370740681744,68.14329640368555,10.0,0.0001673384683151119,0.00014047566793706778,2.0561948149568507e-05,0.0003283760844017482,Canada,CAN,nova scotia,,,Linux-5.15.0-139-generic-x86_64-with-glibc2.31,3.11.11,3.0.2,128,AMD EPYC 9554P 64-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,-63.5822,44.6344,755.2023086547852,process,N
